Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2012,9,6,18:27:10,25.4879,91.0861,34.6,4.5,INDIA-BANGLADESH BORDER REGION,1346956030
2012,8,22,10:23:36,24.3605,90.9492,14.5,3.3,BANGLADESH,1345631016
2012,8,19,20:52:54,24.9222,92.6957,37.7,2.8,INDIA-BANGLADESH BORDER REGION,1345409574
2012,8,5,06:36:49,24.7944,91.8322,38.5,4.2,INDIA-BANGLADESH BORDER REGION,1344148609
2012,8,2,13:16:41,19.7773,89.7893,35.0,4.7,BAY OF BENGAL,1343913401
2012,7,17,21:21:03,24.805,91.962,34.1,3.3,INDIA-BANGLADESH BORDER REGION,1342560063
2012,7,15,11:38:12,22.632,89.5172,10.0,3.5,BANGLADESH,1342352292
2012,7,3,10:28:08,25.025,92.022,22.9,3.1,INDIA-BANGLADESH BORDER REGION,1341311288
2012,6,29,05:29:57,24.1502,91.9096,8.1,3.5,INDIA-BANGLADESH BORDER REGION,1340947797
2012,6,25,06:09:58,24.8681,91.8262,19.4,3.5,INDIA-BANGLADESH BORDER REGION,1340604598
2012,6,18,19:35:11,25.9557,90.4905,30.4,3.2,INDIA-BANGLADESH BORDER REGION,1340048111
2012,6,12,18:53:39,24.8974,91.2319,8.1,2.7,INDIA-BANGLADESH BORDER REGION,1339527219
2012,6,7,19:38:58,24.9346,91.1971,35.0,3.3,INDIA-BANGLADESH BORDER REGION,1339097938
2012,5,16,17:43:01,25.2113,91.3984,6.3,3.0,INDIA-BANGLADESH BORDER REGION,1337190181
2012,4,20,10:35:02,25.0956,92.2137,24.1,3.5,INDIA-BANGLADESH BORDER REGION,1334918102
2012,3,18,17:23:57,24.9064,92.3174,33.6,3.6,INDIA-BANGLADESH BORDER REGION,1332091437
2012,3,18,02:56:12,23.6448,90.1691,35.0,4.5,BANGLADESH,1332039372
2012,3,4,21:21:32,25.5302,91.0651,0.8,3.1,INDIA-BANGLADESH BORDER REGION,1330896092
2012,2,25,08:45:55,26.2933,88.9185,13.1,3.7,INDIA-BANGLADESH BORDER REGION,1330159555
2012,2,7,12:42:51,23.0469,92.6531,10.0,3.4,INDIA-BANGLADESH BORDER REGION,1328618571
2012,1,1,02:35:21,23.4437,91.7411,32.5,4.6,INDIA-BANGLADESH BORDER REGION,1325385321
2011,11,14,17:36:29,22.2699,92.1834,10.0,3.8,INDIA-BANGLADESH BORDER REGION,1321292189
2011,11,11,09:57:32,26.6892,89.3842,23.2,3.9,INDIA-BANGLADESH BORDER REGION,1321005452
2011,11,5,04:45:05,24.4851,90.2331,35.0,3.3,BANGLADESH,1320468305
2011,11,2,08:57:34,23.4466,90.7946,10.0,3.5,BANGLADESH,1320224254
